2015-12-08 23:58:49,938 - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /etc/zookeeper/conf/zoo.cfg
2015-12-08 23:58:49,962 - INFO  [main:QuorumPeerConfig@334] - Defaulting to majority quorums
2015-12-08 23:58:49,971 - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2015-12-08 23:58:49,971 - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2015-12-08 23:58:49,972 - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2015-12-08 23:58:50,107 - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2015-12-08 23:58:50,120 - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2015-12-08 23:58:50,166 - INFO  [main:QuorumPeer@913] - tickTime set to 2000
2015-12-08 23:58:50,166 - INFO  [main:QuorumPeer@933] - minSessionTimeout set to -1
2015-12-08 23:58:50,166 - INFO  [main:QuorumPeer@944] - maxSessionTimeout set to -1
2015-12-08 23:58:50,166 - INFO  [main:QuorumPeer@959] - initLimit set to 10
2015-12-08 23:58:50,206 - INFO  [main:QuorumPeer@429] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-08 23:58:50,210 - INFO  [main:QuorumPeer@444] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-08 23:58:50,223 - INFO  [Thread-1:QuorumCnxManager$Listener@486] - My election bind port: 0.0.0.0/0.0.0.0:3888
2015-12-08 23:58:50,240 - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:QuorumPeer@670] - LOOKING
2015-12-08 23:58:50,250 - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@740] - New election. My id =  1, proposed zxid=0x0
2015-12-08 23:58:50,255 - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@542] - Notification: 1 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-08 23:58:50,260 - INFO  [WorkerSender[myid=1]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (2, 1)
2015-12-08 23:58:50,261 - INFO  [WorkerSender[myid=1]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (3, 1)
2015-12-08 23:58:50,261 - INFO  [WorkerSender[myid=1]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (4, 1)
